zip_path,filename,condition,width,height,mode,sha256,size_bytes
VR_Image_dataset_final/C1/Scene041_C1.jpg,Scene041_C1.jpg,C1,1600,800,RGB,56b707dc860ea6bc5e691d1617801f76fb0b923c29efc12b5e939d3b4363b99b,190640
VR_Image_dataset_final/C1/Scene042_C1.jpg,Scene042_C1.jpg,C1,1600,800,RGB,ce1305392f9faf93bc1c0714ea8c0317db29503e291aacca4d711722d75100c6,178172
VR_Image_dataset_final/C1/Scene043_C1.jpg,Scene043_C1.jpg,C1,1600,800,RGB,61c6b2f670917c9e3e05cffa02d851f61eff71125f03cd4e31d2d58613c09dda,177205
VR_Image_dataset_final/C1/Scene044_C1.jpg,Scene044_C1.jpg,C1,1600,800,RGB,ffe91ee0c17cbd825888a1dccabcb334c5f0b5db06777e37259d84a3f10e326f,167219
VR_Image_dataset_final/C1/Scene045_C1.jpg,Scene045_C1.jpg,C1,1600,800,RGB,e452ea71fdfeead772abd47784b50e65bfe8506f3bcf5c715edd8b4d1e6b5636,347780
VR_Image_dataset_final/C1/Scene046_C1.jpg,Scene046_C1.jpg,C1,1600,800,RGB,1bf729eb31094ddf86810b28082f6965cc4a48fcd896d2ad894d18614d4c3629,143148
VR_Image_dataset_final/C1/Scene047_C1.jpg,Scene047_C1.jpg,C1,1600,800,RGB,317586cbc42618314e8e2558114fc46cc8d9a14b1b10343a48b5690c9b8af2a1,212762
VR_Image_dataset_final/C1/Scene048_C1.jpg,Scene048_C1.jpg,C1,1600,800,RGB,e5e3cc44eb6aa0bcb31702cad5ab27d9f5f76eafef57a283842b2d4152442af4,270444
VR_Image_dataset_final/C1/Scene049_C1.jpg,Scene049_C1.jpg,C1,1600,800,RGB,6081391737a128316e1d8ca38212082154a5a41b6f9f06b91534036a60b43ec9,179346
VR_Image_dataset_final/C1/Scene050_C1.jpg,Scene050_C1.jpg,C1,1600,800,RGB,3d034d9906039767069b1327d5543253d4b4d8800355f738fcb343960dae314c,284925
VR_Image_dataset_final/C1/Scene051_C1.jpg,Scene051_C1.jpg,C1,1600,800,RGB,2314c4ab01ce98070f9b8dd2b8e382315d00a73153762e68ee0578bf63c51b2f,496476
VR_Image_dataset_final/C1/Scene052_C1.jpg,Scene052_C1.jpg,C1,1600,800,RGB,42450d3414608103ee56e54edc9320dcae8f0966fb6adacd99e275f409c52a0a,252882
VR_Image_dataset_final/C1/Scene053_C1.jpg,Scene053_C1.jpg,C1,1600,800,RGB,6e68a156227a24ad18fc319f2e91acd26480a1385126ced7f2a53d8a32144909,266864
VR_Image_dataset_final/C1/Scene054_C1.jpg,Scene054_C1.jpg,C1,1600,800,RGB,62135e5496392b8d8a050dd40c716c00fbee1b44650afea57040656943543f0e,336093
VR_Image_dataset_final/C1/Scene055_C1.jpg,Scene055_C1.jpg,C1,1600,800,RGB,d6481342a4d395b892b20e0a5be9b45f7a48930830b4528007f6c6d259b50dfc,243010
VR_Image_dataset_final/C1/Scene056_C1.jpg,Scene056_C1.jpg,C1,1600,800,RGB,308135c64c195312086ebd76779c61df4282986ab3a9c6e388d60378d5b91e84,301880
VR_Image_dataset_final/C1/Scene057_C1.jpg,Scene057_C1.jpg,C1,1600,800,RGB,bc4f7577f502f7bce0fb89a76549a8323367edbac986910207f3f6b0c57a82fc,323386
VR_Image_dataset_final/C1/Scene058_C1.jpg,Scene058_C1.jpg,C1,1600,800,RGB,8670487940021b385c1020bdefd0f8348ba2058f3622366eef0f5c1a72513324,260776
VR_Image_dataset_final/C1/Scene059_C1.jpg,Scene059_C1.jpg,C1,1600,800,RGB,d70c287bc2f013721e030f7c1e004433126cd936fb00065f70f3cb5d0fd61fba,325050
